,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
0,4,0.2,8,0.2,1.640413317,2.3674765
1,13,0.2,8,0.2,1.731183529,2.625218
2,22,0.2,8,0.2,1.730806212,2.6505327
3,31,0.2,8,0.2,1.730203635,2.67302
4,40,0.2,8,0.2,1.730337661,2.6932144
5,4,0.3,8,0.2,3.940716623,3.1568685
6,13,0.3,8,0.2,4.709459285,4.061271
7,22,0.3,8,0.2,4.707312388,4.1393013
8,31,0.3,8,0.2,4.706853826,4.1886854
9,40,0.3,8,0.2,4.706533886,4.2254686
10,4,0.4,8,0.2,2.741576768,2.583388
11,13,0.4,8,0.2,3.613908314,3.6418295
12,22,0.4,8,0.2,3.614480741,3.7261887
13,31,0.4,8,0.2,3.613949678,3.7699146
14,40,0.4,8,0.2,3.613482087,3.8042512
15,4,0.5,8,0.2,2.270145027,2.1944804
16,13,0.5,8,0.2,3.252861625,3.2104526
17,22,0.5,8,0.2,3.255906688,3.2664433
18,31,0.5,8,0.2,3.255247508,3.2806172
19,40,0.5,8,0.2,3.254708054,3.2954211
20,4,0.6,8,0.2,2.015944182,2.0673332
21,13,0.6,8,0.2,3.014175948,2.9851637
22,22,0.6,8,0.2,3.021177542,3.0196948
23,31,0.6,8,0.2,3.0204759,3.008708
24,40,0.6,8,0.2,3.019857908,3.0057168
25,4,0.7,8,0.2,1.850298391,2.0541353
26,13,0.7,8,0.2,2.769447953,2.8211246
27,22,0.7,8,0.2,2.776102922,2.8561566
28,31,0.7,8,0.2,2.776482094,2.8374093
29,40,0.7,8,0.2,2.775920214,2.8278503
30,4,0.2,14,0.2,4.262177329,4.058511
31,13,0.2,14,0.2,5.338344777,5.075908
32,22,0.2,14,0.2,5.349148805,5.098158
33,31,0.2,14,0.2,5.34974343,5.123311
34,40,0.2,14,0.2,5.349624811,5.1596937
35,4,0.3,14,0.2,3.040030194,3.5578737
36,13,0.3,14,0.2,4.576557855,5.124569
37,22,0.3,14,0.2,4.590526228,5.202113
38,31,0.3,14,0.2,4.591595582,5.2527876
39,40,0.3,14,0.2,4.591466145,5.3097363
40,4,0.4,14,0.2,2.508711395,2.7098303
41,13,0.4,14,0.2,4.622596777,4.660027
42,22,0.4,14,0.2,4.643557653,4.7347183
43,31,0.4,14,0.2,4.64479154,4.758354
44,40,0.4,14,0.2,4.645140016,4.7977076
45,4,0.5,14,0.2,2.23231125,2.3122354
46,13,0.5,14,0.2,4.559264228,4.4660597
